DATA=Galaxy 11_sm
GALAXY_SEED=1827228274
+SYS_1169798786|SEED=89082304:NAME=Tau
+OBJ_1604241282|P=SYS_1518225714:DTYPE=1:DEFNAME=Government:DEFCLASS=C:MAX_SCRAP=19:MAX_PFUEL=8:SHP_FXD_TYPE=7:DMIN=0.5921569:DMAX=0.9372549:SEED_C=524662650:SEED_D=573424184:NAME=Manhelleck
+OBJ_838554569|P=SYS_1518225714:DTYPE=1:DEFNAME=Government:DEFCLASS=B:MAX_SCRAP=32:MAX_PFUEL=8:SHP_FXD_TYPE=7:DMIN=0.5921569:DMAX=0.9372549:SEED_C=-1113110069:SEED_D=-1915520697:NAME=Durga
+OBJ_1333335219|P=SYS_1518225714:DTYPE=1:DEFNAME=Military:DEFCLASS=B:MAX_SCRAP=44:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.5921569:DMAX=0.9372549:SEED_C=270099692:SEED_D=-1040058702:NAME=Ill Prepared
+OBJ_527772221|P=SYS_1518225714:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=C:MAX_SCRAP=23:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5921569:DMAX=0.9372549:SEED_C=588739406:SEED_D=-1849354843:NAME=Stanhope
+SYS_909485757|SEED=91010122:NAME=Golden:SG=True:SG_CHILD=True:SG_OTHER=GX_855200292:GXE_P=GXE_849135518
+OBJ_1279757904|P=SYS_909485757:DTYPE=1:DEFNAME=Barge:DEFCLASS=B:MAX_SCRAP=147:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.4117647:DMAX=0.7137255:SEED_C=-65145978:SEED_D=91010122:NAME=Ulysses
+OBJ_973185856|P=SYS_909485757:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=B:MAX_SCRAP=21:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.4117647:DMAX=0.7137255:SEED_C=459521677:SEED_D=1477945872:NAME=Fair Payment
+OBJ_1079059051|P=SYS_909485757:DTYPE=1:DEFNAME=Barge:DEFCLASS=A:MAX_SCRAP=161:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.4117647:DMAX=0.7137255:SEED_C=1490474256:SEED_D=-728416474:NAME=Bowsprit
+OBJ_1915651607|P=SYS_909485757:DTYPE=1:DEFNAME=Medical:DEFCLASS=B:MAX_SCRAP=30:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.4117647:DMAX=0.7137255:SEED_C=-603600723:SEED_D=35613067:NAME=Katra
+OBJ_2139005339|P=SYS_909485757:DTYPE=3:DEFNAME=Space station:DEFCLASS=B:MAX_SCRAP=33:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.4117647:DMAX=0.7137255:SEED_C=-1297096635:SEED_D=-11071990:NAME=Saint Francis
+OBJ_1074001584|P=SYS_909485757:DTYPE=4:DEFNAME=Trading Post:DMIN=0.4117647:DMAX=0.7137255:SEED_C=199081908:SEED_D=1678746949
+SYS_451850185|SEED=91349981:NAME=Kayak
+OBJ_1039200782|P=SYS_451850185:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=C:MAX_SCRAP=24:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.6313726:DMAX=0.945098:SEED_C=-1808706077:SEED_D=91349981:NAME=Space Bully:AI=2
+OBJ_1925990406|P=SYS_451850185:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=B:MAX_SCRAP=28:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.6313726:DMAX=0.945098:SEED_C=-1945626673:SEED_D=-2110675593:NAME=Undying
+OBJ_1641848394|P=SYS_451850185:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=C:MAX_SCRAP=21:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.6313726:DMAX=0.945098:SEED_C=1682388459:SEED_D=392399273:NAME=Hallingskeid
+OBJ_1921504402|P=SYS_451850185:DTYPE=2:DEFNAME=Research Outpost:BKIMGID=0:DMIN=0.6313726:DMAX=0.945098:SEED_C=-1894687819:SEED_D=1561835838:NAME=Heimdall
+OBJ_370379077|P=SYS_451850185:DTYPE=2:DEFNAME=Research Outpost:BKIMGID=3:DMIN=0.6313726:DMAX=0.945098:SEED_C=443507840:SEED_D=788664887:NAME=South Field
+OBJ_2099680896|P=SYS_451850185:DTYPE=2:DEFNAME=Research Outpost:BKIMGID=4:DMIN=0.6313726:DMAX=0.945098:SEED_C=492435760:SEED_D=871058642:NAME=Sham Shui Po
