DATA=Galaxy 9_sm
GALAXY_SEED=-831650833
+SYS_1862165135|SEED=115740724:NAME=Gother
+OBJ_1775243179|P=SYS_1091604229:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=A:MAX_SCRAP=36:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=532835687:SEED_D=-596769710:NAME=Arctic Fritallary
+OBJ_802907271|P=SYS_1091604229:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=D:MAX_SCRAP=11:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1995131551:SEED_D=-1832371070:NAME=Lexington
+OBJ_1650635237|P=SYS_1091604229:DTYPE=4:DEFNAME=Trading Post:DMIN=0.5882353:DMAX=1:SEED_C=619043837:SEED_D=1705978605
+SYS_1533009262|SEED=117830705:NAME=Pakemi
+OBJ_1526923354|P=SYS_1533009262:DTYPE=1:DEFNAME=Barge:DEFCLASS=A:MAX_SCRAP=147:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-216227623:SEED_D=117830705:NAME=Orbital Velocity
+OBJ_530965760|P=SYS_1533009262:DTYPE=1:DEFNAME=Medical:DEFCLASS=C:MAX_SCRAP=21:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1331195122:SEED_D=1092928437:NAME=Indioilar
+OBJ_2010731529|P=SYS_1533009262:DTYPE=1:DEFNAME=Government:DEFCLASS=B:MAX_SCRAP=25:MAX_PFUEL=8:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1996926535:SEED_D=1286178661:NAME=Argus
+OBJ_403188040|P=SYS_1533009262:DTYPE=1:DEFNAME=Government:DEFCLASS=A:MAX_SCRAP=39:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1609900781:SEED_D=1044392387:NAME=Shab o Ruz
+OBJ_1977069858|P=SYS_1533009262:DTYPE=1:DEFNAME=Military:DEFCLASS=B:MAX_SCRAP=33:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=690182665:SEED_D=-2067631459:NAME=Here On Faith
+OBJ_772945313|P=SYS_1533009262:DTYPE=4:DEFNAME=Trading Post:DMIN=0.5882353:DMAX=1:SEED_C=-207914088:SEED_D=635120667
+SYS_1258173973|SEED=118193265:NAME=Par
+OBJ_244158606|P=SYS_1258173973:DTYPE=1:DEFNAME=Government:DEFCLASS=B:MAX_SCRAP=24:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=926436670:SEED_D=118193265:NAME=Eurynome
+OBJ_1342672658|P=SYS_1258173973:DTYPE=1:DEFNAME=Military:DEFCLASS=A:MAX_SCRAP=58:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1499986350:SEED_D=513100522:NAME=Cholokloha
+OBJ_675120199|P=SYS_1258173973:DTYPE=1:DEFNAME=Private:DEFCLASS=A:MAX_SCRAP=34:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-49516287:SEED_D=-896766075:NAME=Macklevee
+OBJ_2026203915|P=SYS_1258173973:DTYPE=1:DEFNAME=Military:DEFCLASS=A:MAX_SCRAP=78:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=-1256943022:SEED_D=2005655274:NAME=Land of the Free
+OBJ_1690909653|P=SYS_1258173973:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=D:MAX_SCRAP=11:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.5882353:DMAX=1:SEED_C=1589636140:SEED_D=-1459060579:NAME=Kikwit
+OBJ_2125736471|P=SYS_1258173973:DTYPE=4:DEFNAME=Trading Post:DMIN=0.5882353:DMAX=1:SEED_C=-896098357:SEED_D=-1748907428
