DATA=Galaxy 8_sm
GALAXY_SEED=-432629785
+SYS_1153768776|SEED=109537417:NAME=Kesem
+SYS_843598424|SEED=110411133:NAME=Nef
+OBJ_2077025086|P=SYS_843598424:DTYPE=1:DEFNAME=Salvage:DEFCLASS=B:MAX_SCRAP=150:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-26099859:SEED_D=110411133:NAME=Ghost Swift
+OBJ_803766316|P=SYS_843598424:DTYPE=1:DEFNAME=Salvage:DEFCLASS=C:MAX_SCRAP=88:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=1583400874:SEED_D=1600416271:NAME=Oddball
+OBJ_1606456414|P=SYS_843598424:DTYPE=1:DEFNAME=Military:DEFCLASS=A:MAX_SCRAP=70:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-1519985543:SEED_D=-1859502872:NAME=One Armed Man
+OBJ_1383365434|P=SYS_843598424:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=A:MAX_SCRAP=40:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-1281440302:SEED_D=1950161316:NAME=Spiceminer
+OBJ_1133854975|P=SYS_843598424:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=A:MAX_SCRAP=33:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=2005244542:SEED_D=1440879363:NAME=Octavian
+OBJ_2113170859|P=SYS_843598424:DTYPE=3:DEFNAME=Space station:DEFCLASS=B:MAX_SCRAP=35:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-1271963834:SEED_D=-1370611469:NAME=Kira
+OBJ_1930769097|P=SYS_843598424:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=B:MAX_SCRAP=34:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-595259489:SEED_D=-2017541826:NAME=Ankh
+OBJ_19616629|P=SYS_843598424:DTYPE=4:DEFNAME=Trading Post:DMIN=0.254902:DMAX=0.627451:SEED_C=-1295172478:SEED_D=576796195
+SYS_8056545|SEED=110879930:NAME=Painter
+OBJ_1236651921|P=SYS_8056545:DTYPE=1:DEFNAME=Medical:DEFCLASS=B:MAX_SCRAP=40:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-1345284385:SEED_D=110879930:NAME=Spanish Festoon
+OBJ_1848427016|P=SYS_8056545:DTYPE=1:DEFNAME=Private:DEFCLASS=A:MAX_SCRAP=43:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-1002137776:SEED_D=-345308034:NAME=Babylon
+OBJ_257310623|P=SYS_8056545:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=A:MAX_SCRAP=42:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=1574064457:SEED_D=-956406373:NAME=Breathing Space
+OBJ_1309527320|P=SYS_8056545:DTYPE=1:DEFNAME=Medical:DEFCLASS=B:MAX_SCRAP=31:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-1851823217:SEED_D=806034254:NAME=Glory
+OBJ_928800861|P=SYS_8056545:DTYPE=1:DEFNAME=Barge:DEFCLASS=A:MAX_SCRAP=150:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-1720756995:SEED_D=611869133:NAME=Intrepid
+OBJ_935250868|P=SYS_8056545:DTYPE=3:DEFNAME=Space station:DEFCLASS=A:MAX_SCRAP=44:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.254902:DMAX=0.627451:SEED_C=-840991635:SEED_D=1543021900:NAME=Kayes
+OBJ_448396328|P=SYS_8056545:DTYPE=4:DEFNAME=Trading Post:DMIN=0.254902:DMAX=0.627451:SEED_C=-62033242:SEED_D=1527830014
+OBJ_1137764204|P=SYS_8056545:DTYPE=4:DEFNAME=Trading Post:DMIN=0.254902:DMAX=0.627451:SEED_C=-169596685:SEED_D=-1983524347
