DATA=Galaxy 10_sm_f
GALAXY_SEED=814321259
+SYS_739973509|SEED=85849510:NAME=Merlin
+OBJ_1274539680|P=SYS_1208759891:DTYPE=2:DEFNAME=Research Outpost:BKIMGID=4:DMIN=0.4941176:DMAX=0.8196079:SEED_C=441440676:SEED_D=-1849291480:NAME=Pecorino
+OBJ_532834578|P=SYS_1208759891:DTYPE=2:DEFNAME=Military Outpost:BKIMGID=4:DMIN=0.4941176:DMAX=0.8196079:SEED_C=-1806482562:SEED_D=1758277360:NAME=Porras
+OBJ_694191204|P=SYS_1208759891:DTYPE=4:DEFNAME=Trading Post:DMIN=0.4941176:DMAX=0.8196079:SEED_C=674487826:SEED_D=2094270585
+SYS_868909979|SEED=87050538:NAME=Fae
+OBJ_486402543|P=SYS_868909979:DTYPE=1:DEFNAME=Military:DEFCLASS=B:MAX_SCRAP=46:MAX_PFUEL=7:SHP_FXD_TYPE=7:DMIN=0.2117647:DMAX=0.5333334:SEED_C=2132443645:SEED_D=87050538:NAME=Lycorhinus
+OBJ_1851877220|P=SYS_868909979:DTYPE=1:DEFNAME=Barge:DEFCLASS=C:MAX_SCRAP=101:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.2117647:DMAX=0.5333334:SEED_C=-1519619728:SEED_D=1673574055:NAME=Meleager's Blue
+OBJ_1099996850|P=SYS_868909979:DTYPE=2:DEFNAME=Industrial Outpost:BKIMGID=0:DMIN=0.2117647:DMAX=0.5333334:SEED_C=-175260316:SEED_D=586141761:NAME=Davenport
+OBJ_1253812389|P=SYS_868909979:DTYPE=2:DEFNAME=Medical Outpost:BKIMGID=0:DMIN=0.2117647:DMAX=0.5333334:SEED_C=-252863967:SEED_D=-516276043:NAME=Torin
+OBJ_1034180048|P=SYS_868909979:DTYPE=2:DEFNAME=Medical Outpost:BKIMGID=3:DMIN=0.2117647:DMAX=0.5333334:SEED_C=292321928:SEED_D=1045913656:NAME=Orkney
+OBJ_605688643|P=SYS_868909979:DTYPE=2:DEFNAME=Research Outpost:BKIMGID=1:DMIN=0.2117647:DMAX=0.5333334:SEED_C=-2067028257:SEED_D=-1982575776:NAME=Malloy
+OBJ_297968742|P=SYS_868909979:DTYPE=2:DEFNAME=Military Outpost:BKIMGID=2:DMIN=0.2117647:DMAX=0.5333334:SEED_C=1235594649:SEED_D=-1989710125:NAME=Biru
+OBJ_1505798949|P=SYS_868909979:DTYPE=2:DEFNAME=Mining Outpost:BKIMGID=3:DMIN=0.2117647:DMAX=0.5333334:SEED_C=836961726:SEED_D=-752422769:NAME=Septimus
+SYS_2001839634|SEED=87546738:NAME=Erbin:SG=True:SG_CHILD=True:SG_OTHER=GX_1946534735:GXE_P=GXE_1690823780
+OBJ_598722090|P=SYS_2001839634:DTYPE=1:DEFNAME=Medical:DEFCLASS=C:MAX_SCRAP=25:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.2705882:DMAX=0.5686275:SEED_C=1060325404:SEED_D=87546738:NAME=Kirov
+OBJ_1149687639|P=SYS_2001839634:DTYPE=1:DEFNAME=Private:DEFCLASS=A:MAX_SCRAP=44:MAX_PFUEL=8:SHP_FXD_TYPE=7:DMIN=0.2705882:DMAX=0.5686275:SEED_C=1781602193:SEED_D=-628721945:NAME=Nikau
+OBJ_93860366|P=SYS_2001839634:DTYPE=1:DEFNAME=Salvage:DEFCLASS=C:MAX_SCRAP=88:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.2705882:DMAX=0.5686275:SEED_C=2097574822:SEED_D=1606839348:NAME=Dryad
+OBJ_2021816121|P=SYS_2001839634:DTYPE=1:DEFNAME=Military:DEFCLASS=B:MAX_SCRAP=31:MAX_PFUEL=5:SHP_FXD_TYPE=7:DMIN=0.2705882:DMAX=0.5686275:SEED_C=400347435:SEED_D=1626273114:NAME=Kshatriya
+OBJ_1340593674|P=SYS_2001839634:DTYPE=3:DEFNAME=Fuel Depot:DEFCLASS=C:MAX_SCRAP=21:MAX_PFUEL=4:SHP_FXD_TYPE=7:DMIN=0.2705882:DMAX=0.5686275:SEED_C=-1630754263:SEED_D=-1114371919:NAME=Santo Estvo
+OBJ_1840494687|P=SYS_2001839634:DTYPE=4:DEFNAME=Trading Post:DMIN=0.2705882:DMAX=0.5686275:SEED_C=1538987179:SEED_D=509439830
