DATA=Galaxy 10_sm
GALAXY_SEED=1925351417
+SYS_1242321718|SEED=948367484:NAME=Jax
+OBJ_453349981|P=SYS_755691036:DTYPE=2:DEFNAME=Mining Outpost:BKIMGID=3:DMIN=0.227451:DMAX=0.5411765:SEED_C=-98152685:SEED_D=-1001662079:NAME=Johannesburg
+OBJ_430463570|P=SYS_755691036:DTYPE=2:DEFNAME=Research Outpost:BKIMGID=3:DMIN=0.227451:DMAX=0.5411765:SEED_C=-1711019527:SEED_D=2145964671:NAME=Protectorate
+OBJ_1610480793|P=SYS_755691036:DTYPE=2:DEFNAME=Military Outpost:BKIMGID=3:DMIN=0.227451:DMAX=0.5411765:SEED_C=172973089:SEED_D=1277163526:NAME=Trevithick
+OBJ_1804543585|P=SYS_755691036:DTYPE=2:DEFNAME=Research Outpost:BKIMGID=2:DMIN=0.227451:DMAX=0.5411765:SEED_C=2000409926:SEED_D=1333452247:NAME=Fl
+OBJ_1305849019|P=SYS_755691036:DTYPE=2:DEFNAME=Industrial Outpost:BKIMGID=2:DMIN=0.227451:DMAX=0.5411765:SEED_C=724306283:SEED_D=-1851696537:NAME=Savannah
+OBJ_515660094|P=SYS_755691036:DTYPE=4:DEFNAME=Trading Post:DMIN=0.227451:DMAX=0.5411765:SEED_C=1310763958:SEED_D=1540799725
+SYS_1746822530|SEED=949782735:NAME=Superion:SG=True:SG_OTHER=GX_1350997534:GXE_P=GXE_122133705
+OBJ_1912295845|P=SYS_1746822530:DTYPE=1:DEFNAME=MUTEKI:DEFCLASS=C:MAX_SCRAP=14:MAX_PFUEL=6:SHP_FXD_TYPE=7:DMIN=0.3568628:DMAX=0.6705883:SEED_C=916951907:SEED_D=949782735:NAME=Erebus:AI=2
+OBJ_1559477432|P=SYS_1746822530:DTYPE=2:DEFNAME=Military Outpost:BKIMGID=4:DMIN=0.3568628:DMAX=0.6705883:SEED_C=-581027979:SEED_D=1987550695:NAME=Herculaneum
+OBJ_1924958390|P=SYS_1746822530:DTYPE=2:DEFNAME=Mining Outpost:BKIMGID=0:DMIN=0.3568628:DMAX=0.6705883:SEED_C=1016601729:SEED_D=-1410163861:NAME=Kawlax
+OBJ_369734329|P=SYS_1746822530:DTYPE=2:DEFNAME=Industrial Outpost:BKIMGID=0:DMIN=0.3568628:DMAX=0.6705883:SEED_C=-785697410:SEED_D=-398200215:NAME=Suomenlinna
+OBJ_1221933923|P=SYS_1746822530:DTYPE=2:DEFNAME=Industrial Outpost:BKIMGID=1:DMIN=0.3568628:DMAX=0.6705883:SEED_C=1821398606:SEED_D=-550065705:NAME=Kin Zaar
+OBJ_1536894178|P=SYS_1746822530:DTYPE=2:DEFNAME=Industrial Outpost:BKIMGID=3:DMIN=0.3568628:DMAX=0.6705883:SEED_C=1020498065:SEED_D=-1865952478:NAME=Hare
+OBJ_966270543|P=SYS_1746822530:DTYPE=2:DEFNAME=Research Outpost:BKIMGID=3:DMIN=0.3568628:DMAX=0.6705883:SEED_C=-17483748:SEED_D=-418280326:NAME=Darwin
+OBJ_1946604623|P=SYS_1746822530:DTYPE=2:DEFNAME=Mining Outpost:BKIMGID=3:DMIN=0.3568628:DMAX=0.6705883:SEED_C=522904291:SEED_D=-2095797883:NAME=Dokuchaev
